month,AQI,PM2.5,PM10,SO2,CO,NO2,O3
1,105,71,98,25,0.7,56,88
2,79,54,86,19,0.593,35,81
3,97,71,96,21,0.755,49,69
4,71,46,60,16,0.683,38,85
5,65,44,65,17,0.632,34,79
6,61,41,52,19,0.63,30,78
7,49,32,44,21,0.497,27,80
8,60,28,44,22,0.565,25,104
9,61,42,55,25,0.67,30,85
10,61,41,61,19,0.752,37,63
11,84,60,79,24,0.847,50,64
12,109,82,106,22,1.029,51,64
