month,AQI,PM2.5,PM10,SO2,CO,NO2,O3
1,108,79,105,29,2.255,33,68
2,78,57,78,29,1.461,25,50
3,55,35,59,31,1.477,25,53
4,64,45,64,32,1.27,25,52
5,95,69,101,37,1.145,22,79
6,59,24,60,15,0.703,28,85
7,54,24,59,15,0.51,27,83
8,54,26,57,16,0.426,26,94
9,54,25,54,19,0.443,31,99
10,80,55,79,20,0.416,40,88
11,76,51,75,18,0.923,45,74
12,121,90,127,28,0.961,60,71
