month,AQI,PM2.5,PM10,SO2,CO,NO2,O3
1,54,25,53,21,1.032,25,81
2,108,81,106,37,1.477,35,52
3,72,42,59,31,0.961,20,88
4,63,33,80,20,0.752,25,85
5,49,32,54,32,0.914,18,50
6,67,46,80,32,1.032,31,56
7,63,44,59,21,0.817,45,50
8,60,38,64,28,0.761,30,64
9,85,54,79,31,0.761,34,81
10,61,38,65,32,0.914,22,69
11,60,44,64,21,0.82,35,68
12,70,44,90,30,1.9,18,56
