month,AQI,PM2.5,PM10,SO2,CO,NO2,O3
1,108,81,98,20,1.168,34,48
2,98,74,92,20,1.118,32,80
3,91,68,81,21,0.929,37,84
4,91,56,89,21,0.927,34,122
5,90,47,72,19,0.761,25,127
6,69,38,68,18,0.727,22,111
7,51,22,40,16,0.568,22,90
8,50,21,37,15,0.639,20,93
9,59,30,50,18,0.817,31,101
10,63,35,65,22,0.839,35,101
11,79,54,98,22,0.82,43,86
12,104,75,124,21,1.042,51,40
